id,source,text,label,fold,pred0,pred1
e76638295,livejupiter,"よくよく思えば川上は配布にしたらとんでもなく有能だよな
ガチャから引いたら圧倒的歓喜レベルや。[SEP]よくよく思えば川上は配布にしたらとんでもなく有能だよな
ガチャから引いたら圧倒的歓喜レベルやで",0,1,6.41,-6.74
e44d502b0,newsplus,"マジレスすると野党に任せてドイツ化した場合、税金で難民を養うことになるね
生活保護どこらの話ではない
金の話をするなら視野を広くせんとな。[SEP]マジレスすると野党に任せてドイツ化した場合、税金で難民を養うことになるね
生活保護どこらの話ではない
金の話をするなら視野を広くせんとなｗ",0,1,5.547,-5.73
b9ce9fb72,livejupiter,"ワイD、柳の明治大と京田の日大を応援する予定
両方シード圏内に来て欲しいな。[SEP]ワイD、柳の明治大と京田の日大を応援する予定
両方シード圏内に来て欲しいなあ",0,1,6.043,-8.04
626cc771c,news4vip,"そういうあやふやなところが魅力だと私は思っています。[SEP]
これうそだろ！とか、いやいやこれは本当のこと・・・なんてのをみんなで議論するのがすごく好きです。",0,1,5.2,-5.996
b673b5ed0,livejupiter,もちろんわかっとるで。[SEP]でもホームラン打てなくても稼げるのは凄いと思わんか？,0,1,6.473,-7.168
6b8c61421,livejupiter,"黒人なまりのラップ→うおおおおおおおおお
日本人のラップ→なんかヌメッとしてる(笑。[SEP]黒人なまりのラップ→うおおおおおおおおお
日本人のラップ→なんかヌメッとしてる(笑)",0,1,2.172,-1.766
cf097e5b2,livejupiter,"まあA勝利でも嵐は落ちるしめげんことや
ワイもA勝利で落ちた。[SEP]まあA勝利でも嵐は落ちるしめげんことや
ワイもA勝利で落ちたし",0,1,6.918,-6.55
974a53e5f,newsplus,"ひろゆき時代のFOX夜勤担当とかいうレスあったわ
FOXって好き勝手出来たイメージがある
まあ俺はおーぷんメインにするからいいけど。[SEP]ひろゆき時代のFOX夜勤担当とかいうレスあったわ
FOXって好き勝手出来たイメージがある
まあ俺はおーぷんメインにするからいいけどw",0,1,7.688,-8.04
29d398bbb,news4vip,"そんなもんなのかな？
見学行った時はもう少し職員もいたって言うんだけど。[SEP]そんなもんなのかな？
見学行った時はもう少し職員もいたって言うんだけどね",0,1,7.06,-7.75
252ac74ca,newsplus,"北朝鮮による日本人拉致と平行して、在日朝鮮人の拉致も行われている。[SEP]
日本から在日朝鮮人を拉致して工作員として訓練後、再び日本へ密入国させた事件はあるよ。
韓国政府も新潟日赤センタービルを爆破させようと工作員を密入国させたから、朝鮮人は等しく入国禁止が必要。",1,1,-2.922,2.486
747495708,livejupiter,"ドラえもんをつくったのはのび太
ただしそれは現代でドラえもんが動かなくなったから必死で勉強した結。[SEP]ドラえもんをつくったのはのび太
ただしそれは現代でドラえもんが動かなくなったから必死で勉強した結果",0,1,6.645,-7.38
ea5945619,newsplus,"マイクロソフトはもうOSの開発はあきらめて、
得意分野であるゲーム機とキーボードとマウスの開発に集中すべきだ。[SEP]",0,1,3.668,-4.727
228e00610,newsplus,"植松は安倍シンパだったよな
安倍さんへ手紙出してるのが黒塗りで報道されてたけど規制入ったのか急に報道されなくなっ。[SEP]植松は安倍シンパだったよな
安倍さんへ手紙出してるのが黒塗りで報道されてたけど規制入ったのか急に報道されなくなった",0,1,7.105,-8.34
713d9a544,news4vip,"それはアカン
グサーしたらイッチ捕まるやで
怒りに身をゆだねたあと手をだしそうになったら深呼吸や
深呼吸ってのはかなり使えるから。[SEP]それはアカン
グサーしたらイッチ捕まるやで
怒りに身をゆだねたあと手をだしそうになったら深呼吸や
深呼吸ってのはかなり使えるからね",0,1,5.953,-6.715
c61b8e162,news4vip,"じゃあなんで悪党だったらとりあえず
ヒトラー挙げとけってノリなの？
ユダヤ人の反感買ったから。[SEP]じゃあなんで悪党だったらとりあえず
ヒトラー挙げとけってノリなの？
ユダヤ人の反感買ったから？",0,1,5.023,-4.344
b5af01b10,livejupiter,"長い階段から勢いよく落ちればいけるでしょ。[SEP]
まさか、ためらい創まで調べはしないでしょうし。",0,1,6.316,-7.21
33d7bb86c,news4vip,"白黒ついてないようだけどTKOは在日な
ソースは俺のおか。[SEP]白黒ついてないようだけどTKOは在日な
ソースは俺のおかん",0,1,4.61,-6.035
75dbac823,newsplus,"いや、俺はもっぱら女の人のほうが好きで、
友達と遊びに行って、ほかに泊まるところがなかっただけだから、
詳しいことは知らん。[SEP]期待させて申し訳ない。",0,1,5.05,-5.25
fb6cbd0b3,livejupiter,受験とかいう資本主義を助長する制度はやめよう！出願者数の分だけ入学させろ！(低学歴並。[SEP]受験とかいう資本主義を助長する制度はやめよう！出願者数の分だけ入学させろ！(低学歴並),0,1,3.39,-4.914
814381116,newsplus,"信者連呼の次は透視（）とか終わってんな
ていうか億ウォンって誰よ
第13艦隊なら知ってるけ。[SEP]信者連呼の次は透視（）とか終わってんな
ていうか億ウォンって誰よ
第13艦隊なら知ってるけど",0,1,6.543,-7.266
e21364951,livejupiter,"せやね。[SEP]ワイは奥川上背若干たりん気がするけど制球と変化球の感覚
はすごいと思うで、スライダーが外に外れるのはちょっと気になるけど",0,1,4.63,-6.01
ccb9af416,newsplus,"平等とか民主主義はキリスト教のバックボーンがあって成立するもの
2世大好き日本人には無。[SEP]平等とか民主主義はキリスト教のバックボーンがあって成立するもの
2世大好き日本人には無理",0,1,2.594,-3.566
e08ec14ce,news4vip,"同じものに興味を持ったんだぞ(´･_･`)
良いことだろ。[SEP]同じものに興味を持ったんだぞ(´･_･`)
良いことだろｗ",0,1,6.363,-6.4
0508a18d4,livejupiter,まあルール上可能やけどもうゆっくりしてほしい。[SEP]まあルール上可能やけどもうゆっくりしてほしいわ,0,1,6.605,-6.535
caafefbc9,news4vip,"心身ともに疲れるね
終わった後は達成感よりはー今日もこんな感じかってい。[SEP]心身ともに疲れるね
終わった後は達成感よりはー今日もこんな感じかっていう",0,1,6.24,-6.91
06bc00f70,newsplus,要望板があるからそこのが確実と思うよ。[SEP]要望板があるからそこのが確実と思うよー,0,1,6.15,-7.586
a72811fc7,news4vip,"おいこら朝鮮人！
なんとか言えボケ！！
(*゜∀゜)。[SEP]おいこら朝鮮人！
なんとか言えボケ！！
(*゜∀゜)ノ",0,1,1.314,-0.4846
dde546cb8,newsplus,"それはよそに移動できる貿易黒字だから、移動を促進させれば良い
いやなら韓国政府が対応するべき事。[SEP]それはよそに移動できる貿易黒字だから、移動を促進させれば良い
いやなら韓国政府が対応するべき事案",0,1,4.13,-4.715
d5dde3b80,newsplus,"同性愛者は治療可能なわけで。[SEP]
じゃあ同性愛者ならいくら差別してもいいってことになるな、その論法だと。",0,1,2.787,-2.879
d6884f00b,news4vip,"いやネタだろ
それにマジレスしちゃうお前らさ。[SEP]いやネタだろ
それにマジレスしちゃうお前らさあ",0,1,6.613,-5.957
c0ce72233,newsplus,お前も７月９日から本名と通名の二枚舌は終了だなナマポリアンｗｗ。[SEP]お前も７月９日から本名と通名の二枚舌は終了だなナマポリアンｗｗｗ,0,1,3.723,-3.385
e43f4e817,livejupiter,"黒人って同じ黒人同士で抜いたりするんやろか
あいつら異人種過ぎて全然ムラムラしないんやけ。[SEP]黒人って同じ黒人同士で抜いたりするんやろか
あいつら異人種過ぎて全然ムラムラしないんやけど",0,1,2.75,-2.695
edab89d56,newsplus,"日本人学校リストがデマ云々ぬかすより、
ツイッターで「イスラム人」と検索してみれ
イスラム国、イスラム国とマスコミが連呼してるせいで
勘違いしているバカが、頭痛くなるほどおるぞ。[SEP]",0,1,1.652,-2.137
504987650,newsplus,"ミサイル防衛に有効というのはよく分からんな
弾道ミサイルに当たるはずがな。[SEP]ミサイル防衛に有効というのはよく分からんな
弾道ミサイルに当たるはずがない",0,1,4.633,-4.973
0e6cb4fc1,livejupiter,"収入が没収されるなら働かんやん
生産されないやん、収入ないやん
国、亡ぶやん。[SEP]収入が没収されるなら働かんやん
生産されないやん、収入ないやん
国、亡ぶやん？",0,1,4.85,-5.62
121b293a0,newsplus,"スレ建てにルールを儲けようとすること自体が反対の奴と
話したって意味はあるまい。[SEP]",0,1,5.76,-6.03
f31521278,livejupiter,"うん

ハルマ絵上手す。[SEP]うん

ハルマ絵上手すぎ",0,1,4.04,-4.1
c41b083a6,newsplus,稼働したらしたで、反原発は物資や人員の出入りを妨害するんだろ？知ってる。[SEP],0,1,5.54,-6.87
13641732c,livejupiter,"舐めんなよカスが
京都は日本の中心
お前らみたいな穢れた半西洋のクソどもはさっさと日本から出て行。[SEP]舐めんなよカスが
京都は日本の中心
お前らみたいな穢れた半西洋のクソどもはさっさと日本から出て行け",1,1,-3.438,3.83
778e2389b,livejupiter,"ここに臆病ボルト厳選用ﾎﾟｹ持ってるニキおらんか？
レベルとS調整されたヤミラミとかでええんやけ。[SEP]ここに臆病ボルト厳選用ﾎﾟｹ持ってるニキおらんか？
レベルとS調整されたヤミラミとかでええんやけど",0,1,5.855,-6.637
5f6e48031,newsplus,"おお、立ってた。[SEP]
これ読んでびびった。
左右関係なく怒るべきだろう？",0,1,5.605,-6.57
ef946ee6c,livejupiter,"油断は出来んぞ
なんせウチはアレしたんや。[SEP]油断は出来んぞ
なんせウチはアレしたんやし",0,1,5.688,-7.04
f9f2db6e5,livejupiter,"ランナー溜めての降板を危惧したんじゃない？
エスコバーみたいに綺麗に一発喰らってとは限らない。[SEP]ランナー溜めての降板を危惧したんじゃない？
エスコバーみたいに綺麗に一発喰らってとは限らないし",0,1,6.203,-7.902
465bb806c,newsplus,"mateの板一覧おーぷんとscに設定更新したのに
まだnetのが残ってるのに気づいた
どうすれば消えますか。[SEP]mateの板一覧おーぷんとscに設定更新したのに
まだnetのが残ってるのに気づいた
どうすれば消えますか？",0,1,6.523,-7.164
e6f5524c5,news4vip,"女はボロ雑巾のように男に奉仕するものぞ
女は全員が障害者。[SEP]女はボロ雑巾のように男に奉仕するものぞ
女は全員が障害者ぞ",1,1,-5.055,5.12
94faabd46,newsplus,時期はわかりませんが、マリンコF35Bが海自艦に着艦する可能性は、大いにあります。[SEP],0,1,4.85,-6.03
6860f6c3e,news4vip,女は汚物だ、悪魔だ、そのくせどこにでも現れ。[SEP]女は汚物だ、悪魔だ、そのくせどこにでも現れる,1,1,-5.625,5.215
b8c817f39,livejupiter,アンケートは20キャラ位ピックアップされて無能が混じる未来が見え。[SEP]アンケートは20キャラ位ピックアップされて無能が混じる未来が見える,0,1,4.58,-5.39
