id,source,text,label,fold,pred0,pred1
e76638295,livejupiter,よくよく思えば川上は配布にしたらとんでもなく有能だよなガチャから引いたら圧倒的歓喜レベルや。[SEP]よくよく思えば川上は配布にしたらとんでもなく有能だよなガチャから引いたら圧倒的歓喜レベルやで,0,1,7.797,-7.27
e44d502b0,newsplus,マジレスすると野党に任せてドイツ化した場合、税金で難民を養うことになるね生活保護どこらの話ではない金の話をするなら視野を広くせんとな。[SEP]マジレスすると野党に任せてドイツ化した場合、税金で難民を養うことになるね生活保護どこらの話ではない金の話をするなら視野を広くせんとなw,0,1,6.93,-7.543
b9ce9fb72,livejupiter,ワイD、柳の明治大と京田の日大を応援する予定両方シード圏内に来て欲しいな。[SEP]ワイD、柳の明治大と京田の日大を応援する予定両方シード圏内に来て欲しいなあ,0,1,6.305,-7.64
626cc771c,news4vip,そういうあやふやなところが魅力だと私は思っています。[SEP]これうそだろ!とか、いやいやこれは本当のこと・・・なんてのをみんなで議論するのがすごく好きです。,0,1,5.477,-5.824
b673b5ed0,livejupiter,もちろんわかっとるで。[SEP]でもホームラン打てなくても稼げるのは凄いと思わんか?,0,1,7.426,-7.6
6b8c61421,livejupiter,黒人なまりのラップ→うおおお日本人のラップ→なんかヌメッとしてる(笑。[SEP]黒人なまりのラップ→うおおお日本人のラップ→なんかヌメッとしてる(笑),0,1,5.555,-5.195
cf097e5b2,livejupiter,まあA勝利でも嵐は落ちるしめげんことやワイもA勝利で落ちた。[SEP]まあA勝利でも嵐は落ちるしめげんことやワイもA勝利で落ちたし,0,1,7.07,-6.625
974a53e5f,newsplus,ひろゆき時代のFOX夜勤担当とかいうレスあったわFOXって好き勝手出来たイメージがあるまあ俺はおーぷんメインにするからいいけど。[SEP]ひろゆき時代のFOX夜勤担当とかいうレスあったわFOXって好き勝手出来たイメージがあるまあ俺はおーぷんメインにするからいいけどw,0,1,8.195,-8.375
29d398bbb,news4vip,そんなもんなのかな?見学行った時はもう少し職員もいたって言うんだけど。[SEP]そんなもんなのかな?見学行った時はもう少し職員もいたって言うんだけどね,0,1,7.973,-8.33
252ac74ca,newsplus,北朝鮮による日本人拉致と平行して、在日朝鮮人の拉致も行われている。[SEP]日本から在日朝鮮人を拉致して工作員として訓練後、再び日本へ密入国させた事件はあるよ。韓国政府も新潟日赤センタービルを爆破させようと工作員を密入国させたから、朝鮮人は等しく入国禁止が必要。,1,1,-4.887,4.9
747495708,livejupiter,ドラえもんをつくったのはのび太ただしそれは現代でドラえもんが動かなくなったから必死で勉強した結。[SEP]ドラえもんをつくったのはのび太ただしそれは現代でドラえもんが動かなくなったから必死で勉強した結果,0,1,6.53,-7.406
ea5945619,newsplus,マイクロソフトはもうOSの開発はあきらめて、得意分野であるゲーム機とキーボードとマウスの開発に集中すべきだ。[SEP],0,1,3.18,-3.426
228e00610,newsplus,植松は安倍シンパだったよな安倍さんへ手紙出してるのが黒塗りで報道されてたけど規制入ったのか急に報道されなくなっ。[SEP]植松は安倍シンパだったよな安倍さんへ手紙出してるのが黒塗りで報道されてたけど規制入ったのか急に報道されなくなった,0,1,7.953,-8.68
713d9a544,news4vip,それはアカングサーしたらイッチ捕まるやで怒りに身をゆだねたあと手をだしそうになったら深呼吸や深呼吸ってのはかなり使えるから。[SEP]それはアカングサーしたらイッチ捕まるやで怒りに身をゆだねたあと手をだしそうになったら深呼吸や深呼吸ってのはかなり使えるからね,0,1,7.637,-7.656
c61b8e162,news4vip,じゃあなんで悪党だったらとりあえずヒトラー挙げとけってノリなの?ユダヤ人の反感買ったから。[SEP]じゃあなんで悪党だったらとりあえずヒトラー挙げとけってノリなの?ユダヤ人の反感買ったから?,0,1,6.473,-5.625
b5af01b10,livejupiter,長い階段から勢いよく落ちればいけるでしょ。[SEP]まさか、ためらい創まで調べはしないでしょうし。,0,1,6.816,-7.44
33d7bb86c,news4vip,白黒ついてないようだけどTKOは在日なソースは俺のおか。[SEP]白黒ついてないようだけどTKOは在日なソースは俺のおかん,0,1,4.66,-6.09
75dbac823,newsplus,いや、俺はもっぱら女の人のほうが好きで、友達と遊びに行って、ほかに泊まるところがなかっただけだから、詳しいことは知らん。[SEP]期待させて申し訳ない。,0,1,4.504,-4.953
fb6cbd0b3,livejupiter,受験とかいう資本主義を助長する制度はやめよう!出願者数の分だけ入学させろ!(低学歴並。[SEP]受験とかいう資本主義を助長する制度はやめよう!出願者数の分だけ入学させろ!(低学歴並),0,1,4.32,-5.457
814381116,newsplus,信者連呼の次は透視()とか終わってんなていうか億ウォンって誰よ第13艦隊なら知ってるけ。[SEP]信者連呼の次は透視()とか終わってんなていうか億ウォンって誰よ第13艦隊なら知ってるけど,0,1,6.574,-6.484
e21364951,livejupiter,せやね。[SEP]ワイは奥川上背若干たりん気がするけど制球と変化球の感覚はすごいと思うで、スライダーが外に外れるのはちょっと気になるけど,0,1,5.37,-6.53
ccb9af416,newsplus,平等とか民主主義はキリスト教のバックボーンがあって成立するもの2世大好き日本人には無。[SEP]平等とか民主主義はキリスト教のバックボーンがあって成立するもの2世大好き日本人には無理,0,1,2.033,-2.531
e08ec14ce,news4vip,同じものに興味を持ったんだぞ(´・_・`)良いことだろ。[SEP]同じものに興味を持ったんだぞ(´・_・`)良いことだろw,0,1,6.617,-7.062
0508a18d4,livejupiter,まあルール上可能やけどもうゆっくりしてほしい。[SEP]まあルール上可能やけどもうゆっくりしてほしいわ,0,1,7.33,-6.977
caafefbc9,news4vip,心身ともに疲れるね終わった後は達成感よりはー今日もこんな感じかってい。[SEP]心身ともに疲れるね終わった後は達成感よりはー今日もこんな感じかっていう,0,1,6.684,-7.027
06bc00f70,newsplus,要望板があるからそこのが確実と思うよ。[SEP]要望板があるからそこのが確実と思うよー,0,1,6.727,-7.992
a72811fc7,news4vip,おいこら朝鮮人!なんとか言えボケ!!(*ﾟ∀ﾟ)。[SEP]おいこら朝鮮人!なんとか言えボケ!!(*ﾟ∀ﾟ)ノ,0,1,1.265,-0.1353
dde546cb8,newsplus,それはよそに移動できる貿易黒字だから、移動を促進させれば良いいやなら韓国政府が対応するべき事。[SEP]それはよそに移動できる貿易黒字だから、移動を促進させれば良いいやなら韓国政府が対応するべき事案,0,1,4.586,-5.035
d5dde3b80,newsplus,同性愛者は治療可能なわけで。[SEP]じゃあ同性愛者ならいくら差別してもいいってことになるな、その論法だと。,0,1,4.246,-4.22
d6884f00b,news4vip,いやネタだろそれにマジレスしちゃうお前らさ。[SEP]いやネタだろそれにマジレスしちゃうお前らさあ,0,1,7.844,-6.715
c0ce72233,newsplus,お前も7月9日から本名と通名の二枚舌は終了だなナマポリアンww。[SEP]お前も7月9日から本名と通名の二枚舌は終了だなナマポリアンwww,0,1,5.793,-5.184
e43f4e817,livejupiter,黒人って同じ黒人同士で抜いたりするんやろかあいつら異人種過ぎて全然ムラムラしないんやけ。[SEP]黒人って同じ黒人同士で抜いたりするんやろかあいつら異人種過ぎて全然ムラムラしないんやけど,0,1,5.504,-4.98
edab89d56,newsplus,日本人学校リストがデマ云々ぬかすより、ツイッターで「イスラム人」と検索してみれイスラム国、イスラム国とマスコミが連呼してるせいで勘違いしているバカが、頭痛くなるほどおるぞ。[SEP],0,1,2.982,-2.557
504987650,newsplus,ミサイル防衛に有効というのはよく分からんな弾道ミサイルに当たるはずがな。[SEP]ミサイル防衛に有効というのはよく分からんな弾道ミサイルに当たるはずがない,0,1,5.438,-5.797
0e6cb4fc1,livejupiter,収入が没収されるなら働かんやん生産されないやん、収入ないやん国、亡ぶやん。[SEP]収入が没収されるなら働かんやん生産されないやん、収入ないやん国、亡ぶやん?,0,1,5.227,-5.79
121b293a0,newsplus,スレ建てにルールを儲けようとすること自体が反対の奴と話したって意味はあるまい。[SEP],0,1,5.863,-5.664
f31521278,livejupiter,うんハルマ絵上手す。[SEP]うんハルマ絵上手すぎ,0,1,5.48,-5.074
c41b083a6,newsplus,稼働したらしたで、反原発は物資や人員の出入りを妨害するんだろ?知ってる。[SEP],0,1,4.94,-5.242
13641732c,livejupiter,舐めんなよカスが京都は日本の中心お前らみたいな穢れた半西洋のクソどもはさっさと日本から出て行。[SEP]舐めんなよカスが京都は日本の中心お前らみたいな穢れた半西洋のクソどもはさっさと日本から出て行け,1,1,-4.55,4.96
778e2389b,livejupiter,ここに臆病ボルト厳選用ポケ持ってるニキおらんか?レベルとS調整されたヤミラミとかでええんやけ。[SEP]ここに臆病ボルト厳選用ポケ持ってるニキおらんか?レベルとS調整されたヤミラミとかでええんやけど,0,1,7.32,-7.44
5f6e48031,newsplus,おお、立ってた。[SEP]これ読んでびびった。左右関係なく怒るべきだろう?,0,1,7.273,-8.04
ef946ee6c,livejupiter,油断は出来んぞなんせウチはアレしたんや。[SEP]油断は出来んぞなんせウチはアレしたんやし,0,1,7.22,-7.73
f9f2db6e5,livejupiter,ランナー溜めての降板を危惧したんじゃない?エスコバーみたいに綺麗に一発喰らってとは限らない。[SEP]ランナー溜めての降板を危惧したんじゃない?エスコバーみたいに綺麗に一発喰らってとは限らないし,0,1,7.504,-8.26
465bb806c,newsplus,mateの板一覧おーぷんとscに設定更新したのにまだnetのが残ってるのに気づいたどうすれば消えますか。[SEP]mateの板一覧おーぷんとscに設定更新したのにまだnetのが残ってるのに気づいたどうすれば消えますか?,0,1,6.92,-7.2
e6f5524c5,news4vip,女はボロ雑巾のように男に奉仕するものぞ女は全員が障害者。[SEP]女はボロ雑巾のように男に奉仕するものぞ女は全員が障害者ぞ,1,1,-6.156,6.18
94faabd46,newsplus,時期はわかりませんが、マリンコF35Bが海自艦に着艦する可能性は、大いにあります。[SEP],0,1,4.406,-5.023
6860f6c3e,news4vip,女は汚物だ、悪魔だ、そのくせどこにでも現れ。[SEP]女は汚物だ、悪魔だ、そのくせどこにでも現れる,1,1,-6.01,6.434
b8c817f39,livejupiter,アンケートは20キャラ位ピックアップされて無能が混じる未来が見え。[SEP]アンケートは20キャラ位ピックアップされて無能が混じる未来が見える,0,1,6.02,-6.516
042931211,newsplus,視聴者のからの質問を司会がピックアップして聞くコーナーあってなそこで「志位さんはやっぱ目指してるんですか?www」ってのがあった顔が紅潮してパニックなって「目指してます」って認めちゃった言ったあとしまったって顔したのが印象的だっ。[SEP]視聴者のからの質問を司会がピックアップして聞くコーナーあってなそこで「志位さんはやっぱ目指してるんですか?www」ってのがあった顔が紅潮してパニックなって「目指してます」って認めちゃった言ったあとしまったって顔したのが印象的だった,0,1,6.85,-7.18
43c1b2314,newsplus,英語は仕方がないよ中学高校であれだけやっていてもダメなんだから。[SEP]英語は仕方がないよ中学高校であれだけやっていてもダメなんだからw,0,1,5.348,-5.875
d6059dad9,news4vip,使い分けてたのか。[SEP]使い分けてたのか!,0,1,8.84,-8.055
